./test 375 20 0 30
Overhead       Psuc
      1.00       0.10 
      1.05       0.80 
      1.10       1.80 
      1.15       5.10 
      1.20      11.80 
      1.25      21.10 
      1.30      28.30 
      1.35      43.70 
      1.40      54.60 
      1.45      64.50 
      1.50      72.50 
      1.55      81.20 
      1.60      86.40 
      1.65      91.10 
      1.70      94.90 
      1.75      96.70 
      1.80      97.80 
      1.85      99.10 
      1.90      98.80 
      1.95      99.80 
      2.00      99.90 
      2.05      99.90 
      2.10      99.90 
      2.15      99.80 
      2.20     100.00 
      2.25     100.00 
      2.30     100.00 
      2.35     100.00 
      2.40     100.00 
      2.45     100.00 
      2.50     100.00 
      2.55     100.00 
      2.60     100.00 
      2.65     100.00 
      2.70     100.00 
      2.75     100.00 
      2.80     100.00 
      2.85     100.00 
      2.90     100.00 
      2.95     100.00 
      3.00     100.00 
